"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"357","03/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203235"", ""K203235"")","VBrain","Vysioneer Inc.","Radiology","QKB"
"358","03/23/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210209"", ""K210209"")","Viz ICH","Viz.Ai, Inc.","Radiology","QAS"
"359","03/24/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203225"", ""K203225"")","AquilionONE(TSX‐306A/3)V10.4withSpectralImagingSystem","CanonMedicalSystemsCorporation","Radiology","JAK"
"360","03/26/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200019"", ""DEN200019"")","Oxehealth Vital Signs","Oxehealth Limited","Cardiovascular","QME"
"361","03/31/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203258"", ""K203258"")","syngo.CT Lung CAD (Version VD20)","Siemens Healthcare GmbH","Radiology","OEB"
"362","03/31/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203443"", ""K203443"")","MAGNETOM Vida, MAGNETOM Sola, MAGNETOM Lumina, MAGNETOM Altea with syngo MR XA31A","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"363","03/31/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210071"", ""K210071"")","SIS System (Version 5.1.0)","Surgical Information Sciences, Inc.","Radiology","LLZ"
"364","04/01/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200038"", ""DEN200038"")","Gili Pro Biosensor (Also Known as Gili Biosensor System)","Continuse Biometrics Ltd.","Cardiovascular","QOK"
"365","04/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202441"", ""K202441"")","Eclipse II with Smart Noise Cancellation","Carestream Health, Inc.","Radiology","MQB"
"366","04/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202928"", ""K202928"")","DV.Target","DeepVoxel, Inc.","Radiology","QKB"
"367","04/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200055"", ""DEN200055"")","GI Genius","Cosmo Artificial Intelligence - AI, Ltd.","Gastroenterology-Urology","QNP"
"368","04/14/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202992"", ""K202992"")","BriefCase, RIB Fractures Triage (RibFx)","Aidoc Medical, Ltd.","Radiology","QFM"
"369","04/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203517"", ""K203517"")","Saige-Q","DeepHealth, Inc.","Radiology","QFM"
"370","04/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203469"", ""K203469"")","AI Segmentation","Varian Medical Systems","Radiology","MUJ"
"371","04/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203610"", ""K203610"")","Automatic Anatomy Recognition (AAR)","Quantitative Radiology Solutions, LLC","Radiology","QKB"
"372","04/21/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210556"", ""K210556"")","Preview Shoulder","Genesis Software Innovations","Radiology","QIH"
"373","04/23/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203314"", ""K203314"")","Cartesion Prime (PCD-1000A/3) V10.8","Canon Medical Systems Corporation","Radiology","KPS"
"374","04/23/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203502"", ""K203502"")","MEDO-Thyroid","MEDO DX Pte. Ltd.","Radiology","QIH"
"375","04/30/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210001"", ""K210001"")","HYPER AiR","Shanghai United Imaging Healthcare Co.,Ltd.","Radiology","KPS"
"376","05/13/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210426"", ""K210426"")","HS40 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"377","05/14/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201034"", ""K201034"")","Syngo.CT CaScoring","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"378","05/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210237"", ""K210237"")","CINA CHEST","Avicenna.AI","Radiology","QAS"
"379","05/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210187"", ""K210187"")","Overjet Dental Assist","Overjet, Inc.","Radiology","LLZ"
"380","05/21/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202527"", ""K202527"")","Zio ECG Utilization Software (ZEUS) System","iRhythm Technologies, Inc.","Cardiovascular","DQK"
"381","06/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200069"", ""DEN200069"")","Cognoa Asd Diagnosis Aid","Cognoa, Inc.","Neurology","QPF"
"382","06/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210404"", ""K210404"")","Transpara 1.7.0","ScreenPoint Medical B.V.","Radiology","QDQ"
"383","06/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210458"", ""K210458"")","OPTIS Mobile Next Imaging System, OPTIS Integrated Next Imaging System","Abbott Medical","Cardiovascular","NQQ"
"384","06/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203629"", ""K203629"")","IDx-DR","Digital Diagnostics Inc.","Ophthalmic","PIB"
"385","06/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211459"", ""K211459"")","syngo.via MI WorkFlows, Scenium, syngo MBF","Siemens Medical Solutions USA, Inc.","Radiology","QIH"
"386","06/11/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210484"", ""K210484"")","LINQ II Insertable Cardiac Monitor, Zelda AI ECG Classification System","Medtronic, Inc.","Cardiovascular","MXD"
"387","06/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202718"", ""K202718"")","Qmenta Care Platform Family","Mint Labs, Inc., D/B/A. QMENTA","Radiology","LLZ"
"388","06/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210034"", ""K210034"")","EnsoSleep","EnsoData, Inc.","Neurology","OLZ"
"389","06/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203514"", ""K203514"")","Precise Position","Philips Healthcare (Suzhou) Co., Ltd.","Radiology","JAK"
"390","06/29/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210645"", ""K210645"")","RayStation 10.1","RaySearch Laboratories AB (publ)","Radiology","MUJ"
"391","07/01/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210611"", ""K210611"")","MAGNETOM Free.Max","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"392","07/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211788"", ""K211788"")","HALO","Nico.Lab B.V.","Radiology","QAS"
"393","07/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211506"", ""K211506"")","PowerLook Density Assessment Software V4.0","ICAD Inc.","Radiology","QIH"
"394","07/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210666"", ""K210666"")","Chest-CAD","Imagen Technologies, Inc","Radiology","MYN"
"395","07/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210719"", ""K210719"")","Change Healthcare Anatomical AI","Change Healthcare Canada Company","Radiology","QIH"
"396","07/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211906"", ""K211906"")","Vital Signs","Oxehealth Limited","Cardiovascular","QME"
"397","07/23/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211951"", ""K211951"")","GI Genius","Cosmo Artificial Intelligence - AI Ltd","Gastroenterology-Urology","QNP"
"398","07/27/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210791"", ""K210791"")","Us2.v1","eko.ai Pte. Ltd. d/b/a Us2.ai","Radiology","QIH"
"399","07/27/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211655"", ""K211655"")","aPROMISE","EXINI Diagnostics AB","Radiology","LLZ"
"400","07/27/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212074"", ""K212074"")","ClariCT.AI","ClariPi Inc.","Radiology","LLZ"
"401","07/27/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211279"", ""K211279"")","Volpara Imaging Software","Volpara Health Technologies Limited","Radiology","LLZ"
"402","07/30/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211222"", ""K211222"")","qER-Quant","Qure.ai Technologies","Radiology","QIH"
"403","07/30/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211379"", ""K211379"")","syngo.via RT Image Suite","Siemens Medical Solutions USA Inc.","Radiology","MUJ"
"404","08/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211431"", ""K211431"")","breastscape v1.0","Olea Medical","Radiology","QIH"
"405","08/06/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211764"", ""K211764"")","Vereos PET/CT","Philips Medical Systems Nederland B.V.","Radiology","KPS"
"406","08/06/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212100"", ""K212100"")","Kosmos","EchoNous, Inc.","Radiology","IYN"
"407","08/11/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203448"", ""K203448"")","uCT ATLAS with uWS-CT-Dual Energy Analysis","Shanghai United Imaging Healthcare Co., Ltd.","Radiology","JAK"
"408","08/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211179"", ""K211179"")","InferRead CT Stroke.AI","Infervision Medical Technology Co., Ltd.","Radiology","QAS"
"409","08/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212230"", ""K212230"")","TruSPECT Radiological Image Processing Station","Spectrum Dynamics Medical Ltd","Radiology","LLZ"
"410","08/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211846"", ""K211846"")","Discovery MI Gen2","GE Medical Systems, LLC.","Radiology","KPS"
"411","08/27/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203696"", ""K203696"")","RBknee","Radiobotics ApS","Radiology","LLZ"
"412","08/31/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K201560"", ""K201560"")","Auto Lung Nodule Detection","Samsung Electronics Co.,Ltd.","Radiology","MYN"
"413","08/31/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212383"", ""K212383"")","EndoNaut","Therenva SAS","Radiology","OWB"
"414","09/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211881"", ""K211881"")","AI Segmentation Varian","Medical Systems, Inc.","Radiology","MUJ"
"415","09/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203555"", ""K203555"")","AmCAD-UT","AmCad BioMed Corporation","Radiology","QIH"
"416","09/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211597"", ""K211597"")","EPIQ Series Diagnostic Ultrasound System, Affiniti Series Diagnostic Ultrasound System","Philips Medical Systems","Radiology","IYN"
"417","09/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211945"", ""K211945"")","V8 Diagnostic Ultrasound System","Samsung Medison CO., LTD.","Radiology","IYN"
"418","09/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200030"", ""DEN200030"")","Feops HEARTguide","Feops NV","Cardiovascular","QQI"
"419","09/08/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211867"", ""K211867"")","RayStation 11.0","RaySearch Laboratories AB (publ)","Radiology","MUJ"
"420","09/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211824"", ""K211824"")","HERA W9, HERA W10 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"421","09/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211828"", ""K211828"")","Aquilion Exceed LB","Canon Medical Systems Corporation","Radiology","JAK"
"422","09/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210438"", ""K210438"")","Versana Premier","GE Medical Systems Ultrasound And Primary Care Diagnostics","Radiology","IYN"
"423","09/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203785"", ""K203785"")","ClariSIGMAM","ClariPI Inc.","Radiology","QIH"
"424","09/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210085"", ""K210085"")","HealthCCSng","Zebra Medical Vision Ltd.","Radiology","JAK"
"425","09/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212067"", ""K212067"")","Deep Learning Image Reconstruction","GE Healthcare Japan Corporation","Radiology","JAK"
"426","09/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212269"", ""K212269"")","Intelligent NR","Canon Inc.","Radiology","MQB"
"427","09/21/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/denovo.cfm?ID=DEN200080"", ""DEN200080"")","Paige Prostate","Paige.AI","Pathology","QPN"
"428","09/24/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212704"", ""K212704"")","Philips EPIQ Diagnostic Ultrasound System, Philips Affiniti Diagnostic Ultrasound System","Philips Medical Systems","Radiology","IYN"
"429","09/28/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211964"", ""K211964"")","SubtlePET","Subtle Medical, Inc.","Radiology","KPS"
"430","10/02/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202927"", ""K202927"")","EYE-SYNC","SyncThink, Inc.","Neurology","QEA"
"431","10/12/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212116"", ""K212116"")","VBrain-OAR","Vysioneer Inc.","Radiology","QKB"
"432","10/14/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210999"", ""K210999"")","SwiftMR","AIRS Medical Inc.","Radiology","LLZ"
"433","10/14/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212261"", ""K212261"")","StrokeSENS LVO","Circle Neurovascular Imaging, Inc","Radiology","QAS"
"434","10/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210632"", ""K210632"")","Contour ProtegeAI","MIM Software Inc.","Radiology","QKB"
"435","10/22/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210807"", ""K210807"")","FlightPlan for Liver","GE Medical Systems SCS","Radiology","LLZ"
"436","10/22/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212516"", ""K212516"")","IRNF App","Apple Inc.","Cardiovascular","QDB"
"437","10/25/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212218"", ""K212218"")","Advanced Algorithms for Treatment Management Applications (AATMA)","Elekta Solutions AB","Radiology","QKB"
"438","10/29/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211161"", ""K211161"")","Critical Care Suite with Endotracheal Tube Positing AI algorithm","GE Medical Systems, LLC","Radiology","QIH"
"439","11/03/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210543"", ""K210543"")","IM007","Implicity, Inc.","Cardiovascular","DQK"
"440","11/10/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211733"", ""K211733"")","Lunit INSIGHT CXR Triage","Lunit Inc.","Radiology","QFM"
"441","11/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213436"", ""K213436"")","Clarius Ultrasound Scanner","Clarius Mobile Health Corp.","Radiology","IYN"
"442","11/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212265"", ""K212265"")","TEX20/TEX20 Pro/TEX20S/TEX20T/TEX20 Exp/TEX20 Elite Diagnostic Ultrasound System, TEX10/ TEX10 Pro/TEX10S/TEX10T/TEX10 Exp/TEX10 Elite/TE X/TE X Lite Diagnostic Ultrasound System","Shenzhen Mindray Bio-Medical Electronics Co.,LTD","Radiology","IYN"
"443","11/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211678"", ""K211678"")","Lunit INSIGHT MMG","Lunit Inc.","Radiology","QDQ"
"444","11/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212456"", ""K212456"")","Swoop Point-of-Care Magnetic Resonance Imaging (POC MRI) Scanner System","Hyperfine, Inc.","Radiology","LNH"
"445","11/17/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212336"", ""K212336"")","Soteria.AI","Omega Medical Imaging, LLC","Radiology","OWB"
"446","11/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211326"", ""K211326"")","EndoScreener","Chengdu Wision Medical Device Co., LTD.","Gastroenterology-Urology","QNP"
"447","11/19/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210831"", ""K210831"")","OnQ Neuro","CorTechs Labs, Inc.","Radiology","QIH"
"448","11/26/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211541"", ""K211541"")","MammoScreen 2.0","Therapixel","Radiology","QDQ"
"449","12/01/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213305"", ""K213305"")","Vantage Fortian 1.5T","Canon Medical Systems Corporation","Radiology","LNH"
"450","12/03/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212219"", ""K212219"")","AHI System","Fifth Eye Inc.","Cardiovascular","QNV"
"451","12/06/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213096"", ""K213096"")","Al-Rad Companion (Pulmonary)","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"452","12/09/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212466"", ""K212466"")","LVivo Seamless V2.0","DiA Imaging Analysis Ltd","Radiology","QIH"
"453","12/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211803"", ""K211803"")","HealthPPT","Zebra Medical Vision Ltd.","Radiology","QFM"
"454","12/15/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213155"", ""K213155"")","RT-Mind-AI","MedMind Technology Co., Ltd.","Radiology","QKB"
"455","12/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212616"", ""K212616"")","Koios DS","Koios Medical, Inc.","Radiology","POK"
"456","12/16/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213628"", ""K213628"")","VBrain","Vysioneer Inc.","Radiology","QKB"
"457","12/20/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213275"", ""K213275"")","EchoGo Core (2.0)","Ultromics Limited","Radiology","QIH"
"458","12/21/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210670"", ""K210670"")","BU-CAD","TaiHao Medical Inc.","Radiology","QDQ"
"459","12/21/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212690"", ""K212690"")","qXR-BT","Qure.ai Technologies","Radiology","QIH"
"460","12/22/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202404"", ""K202404"")","BoneMRI","MRIguidance B.V","Radiology","QIH"
"461","12/29/2021","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213776"", ""K213776"")","LiverSmart","Resonance Health Analysis Services Pty Ltd","Radiology","PCS"
"462","01/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213544"", ""K213544"")","TOMTEC-ARENA","TOMTEC Imaging Systems GmbH","Radiology","QIH"
"463","01/07/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211443"", ""K211443"")","AIBOLIT 3D+","AIbolit Technologies, LLC","Radiology","LLZ"
"464","01/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212005"", ""K212005"")","UNiD Spine Analyzer","MEDICREA International, Inc.","Radiology","LLZ"
"465","01/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210760"", ""K210760"")","Precise Image","Philips Medical Systems Nederland, B.V.","Radiology","JAK"
"466","01/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213737"", ""K213737"")","Quantib ND","Quantib B.V.","Radiology","LLZ"
"467","01/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213307"", ""K213307"")","Eclipse II with Smart Noise Cancellation","Carestream Health Inc.","Radiology","MQB"
"468","01/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210747"", ""K210747"")","Caption Interpretation Automated Ejection Fraction Software","Caption Health","Radiology","QIH"
"469","01/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212012"", ""K212012"")","Follicle Clarity","Cycle Clarity","Radiology","QIH"
"470","01/20/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K214019"", ""K214019"")","syngo.CT Extended Functionality","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"471","01/24/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212333"", ""K212333"")","Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V6.5","Canon Medical Systems Corporation","Radiology","IYN"
"472","01/28/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203260"", ""K203260"")","syngo.CT Brain Hemorrhage","Siemens Medical Solutions USA, Inc.","Radiology","QAS"
"473","02/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213976"", ""K213976"")","Contour ProtegeAI","MIM Software Inc.","Radiology","QKB"
